2019-09-11 11:43:07.945448|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-11 15:40:43.736999|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:58828
2019-09-11 16:47:00.258063|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:62848
2019-09-11 17:22:50.962529|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=saliendo'
2019-09-11 18:01:59.139354|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-11 18:43:52.659677|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:59428
2019-09-11 19:19:48.592169|INFO    |VirtualServerBase|1  |client connected '▶ lil r ◀'(id:7) from 190.84.217.156:63487
2019-09-11 19:24:58.238227|INFO    |VirtualServerBase|1  |client connected 'Black'(id:14) from 186.147.180.165:62743
2019-09-11 20:08:36.645619|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-11 20:56:47.894804|INFO    |VirtualServerBase|1  |client connected '---'(id:10) from 190.24.74.89:21259
2019-09-11 21:14:11.020355|INFO    |VirtualServerBase|1  |client disconnected '---'(id:10) reason 'reasonmsg=saliendo'
2019-09-11 21:23:57.917055|INFO    |VirtualServerBase|1  |client disconnected 'Black'(id:14) reason 'reasonmsg=saliendo'
2019-09-11 22:33:50.290545|INFO    |VirtualServerBase|1  |client connected 'TeamSpeakUser'(id:29) from 190.215.30.24:59132
2019-09-11 22:36:00.976724|INFO    |VirtualServerBase|1  |client disconnected 'TeamSpeakUser'(id:29) reason 'reasonmsg=saliendo'
2019-09-11 22:52:39.625004|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:63558
2019-09-11 23:02:27.316843|INFO    |VirtualServerBase|1  |client connected 'Vzla'(id:6) using a myTeamSpeak ID from 186.88.159.67:53306
2019-09-11 23:02:40.789154|INFO    |VirtualServerBase|1  |client disconnected 'Vzla'(id:6) reason 'reasonmsg=Just another typical disconnection message.'
2019-09-11 23:12:45.398450|INFO    |VirtualServerBase|1  |client disconnected 'lil Carlos'(id:8) reason 'reasonmsg=me fui con tu mamà'
2019-09-12 00:03:48.915024|INFO    |VirtualServerBase|1  |client connected 'AlfaBlitz_-'(id:28) from 181.171.123.48:60714
2019-09-12 00:03:54.045685|INFO    |VirtualServerBase|1  |client disconnected 'AlfaBlitz_-'(id:28) reason 'reasonmsg=saliendo'
2019-09-12 01:08:28.011107|INFO    |VirtualServerBase|1  |client connected 'AlfaBlitz_-'(id:28) from 181.171.123.48:54874
2019-09-12 01:08:31.730860|INFO    |VirtualServerBase|1  |client disconnected 'AlfaBlitz_-'(id:28) reason 'reasonmsg=saliendo'
2019-09-12 01:09:09.406712|INFO    |VirtualServerBase|1  |client disconnected '▶ lil r ◀'(id:7) reason 'reasonmsg=saliendo'
2019-09-12 01:41:19.758979|INFO    |VirtualServerBase|1  |client connected 'lil Carlos'(id:8) from 200.66.49.168:44633
